Nome,Vida,Atk,Def,SpA,SpD,Vel,Mag,Per,Ene,EnR,CrD,CrC,Sinergia,Habilidades,Equipaveis,Total,Poder R1,Poder R2,Poder R3,Tipo1,%1,Tipo2,%2,Tipo3,%3,Altura,Peso,Raridade,Estagio,FF,Code,Linhagem
Starmie,60,30,35,45,35,50,30,45,35,15,10,10,3,2,2,865,280,490,670,agua,100,cosmico,100,psiquico,50,1,,6,2,,189,56
Mime Jr,24,12,18,23,27,19,22,14,18,12,4,4,1,1,0,412,144,254,330,psiquico,100,fada,100,,,0.6,,-,0,,190,57
Mr. Mime,48,18,24,40,57,42,42,18,32,16,4,8,2,1,2,746,282,474,594,psiquico,100,fada,100,,,1.35,,5,1,,191,57
Mr. Rime,82,25,30,51,54,42,46,25,40,16,5,10,3,1,2,876,302,548,708,psiquico,100,gelo,100,fada,10,1.55,,8,2,,192,57
Scyther,71,47,37,29,37,45,15,30,32,20,15,15,2,1,2,815,258,467,625,inseto,100,voador,100,,,1.5,,5,1,,193,58
Scizor,81,57,48,29,39,41,15,35,38,20,20,15,2,1,2,895,292,527,695,inseto,100,metal,100,,,1.8,,8,2,,194,58
Mega Scizor,81,67,54,29,40,41,16,40,40,20,30,30,2,1,2,995,324,565,765,inseto,100,metal,100,,,1.95,,-,FF,,195,58
Kleavor,81,65,37,29,37,45,15,41,38,20,15,15,2,1,2,895,302,533,705,inseto,100,pedra,100,,,1.75,,8,2,,196,58
Smoochum,32,14,7,28,22,19,24,12,18,12,4,4,2,1,0,412,148,254,330,gelo,100,psiquico,100,sonoro,10,0.45,,-,0,,197,59
Jynx,69,20,12,41,41,24,49,21,35,15,5,10,3,2,3,760,262,449,561,gelo,100,psiquico,100,sonoro,10,1.25,,5,1,,198,59
Elekid,34,19,13,19,13,22,16,15,21,16,4,4,2,1,0,414,124,228,316,eletrico,100,,,,,0.6,,-,0,,199,60
Electabuzz,77,33,22,36,23,37,20,22,32,18,13,13,4,1,2,733,223,399,527,eletrico,100,,,,,1.1,,5,1,,200,60
Electivire,100,41,37,43,38,40,23,26,42,20,35,15,4,1,3,960,270,508,704,eletrico,100,lutador,10,,,1.85,,9,2,,201,60
Magby,34,21,13,21,13,20,15,15,20,14,5,5,2,1,0,412,124,228,312,fogo,100,,,,,0.6,,-,0,,202,61
Magmar,77,36,23,38,22,33,20,22,32,17,13,13,4,1,2,732,225,401,529,fogo,100,,,,,1.1,,5,1,,203,61
Magmortar,100,43,38,48,37,35,23,26,40,20,35,15,4,1,3,960,282,512,704,fogo,100,lutador,10,,,1.85,,9,2,,204,61
Pinsir,64,49,36,24,28,30,10,32,34,20,25,20,3,1,2,790,238,426,580,inseto,100,,,,,1.5,,5,1,,205,62
Mega Pinsir,64,55,38,25,28,36,10,36,35,20,50,25,3,1,2,890,286,500,670,inseto,100,voador,100,,,1.65,,-,FF,,206,62
Tauros,86,45,40,22,32,48,20,30,35,25,10,10,2,1,2,825,272,486,640,normal,100,,,,,,,5,1,,207,63
Tauros Combat,86,46,42,17,30,48,18,36,35,25,10,10,2,1,2,825,274,500,646,lutador,100,,,,,,,-,F,,208,63
Tauros Flame,86,46,42,17,30,48,18,36,35,25,10,10,2,1,2,825,274,500,646,fogo,100,lutador,80,,,,,-,F,,209,63
Tauros Aqua,86,46,42,17,30,48,18,36,35,25,10,10,2,1,2,825,274,500,646,agua,100,lutador,80,,,,,-,F,,210,63
Magikarp,32,13,22,14,16,28,14,10,15,10,4,8,3,1,1,420,132,222,296,agua,100,,,,,,,1,1,,211,64
Gyarados,108,75,40,32,52,35,22,26,46,20,18,25,3,1,2,1000,362,604,770,agua,100,voador,80,,,,,9,2,,212,64
Mega Gyarados,108,90,45,35,60,35,28,32,46,20,20,25,3,1,2,1090,408,660,850,agua,100,sombrio,80,,,,,-,FF,,213,64
Lapras,135,40,36,40,46,30,32,26,50,20,5,10,4,1,3,945,327,559,735,agua,100,,,,,,,8,1,,214,65
Gigantamax Lapras,360,46,40,40,48,20,52,26,53,20,5,10,4,1,3,1220,570,838,1010,agua,100,,,,,,,-,FF,,215,65
Ditto,38,19,19,19,19,19,19,19,19,19,16,16,1,1,0,493,114,228,342,normal,100,,,,,,,4,1,,216,66
Eevee,42,23,20,19,25,24,26,18,24,15,5,10,4,1,1,555,150,286,400,normal,100,,,,,,,3,1,,217,67
Gigantamax Eevee,190,30,24,20,26,16,28,18,32,16,5,10,4,1,1,736,314,470,578,normal,100,,,,,,,-,FF,,218,67
Vaporeon,124,30,30,48,38,24,30,55,38,15,5,10,4,1,2,885,330,542,710,agua,100,,,,,,,7,2,,219,67
Vaporeon Radiante,124,34,34,52,42,28,34,59,42,17,8,13,5,1,2,977,346,582,774,agua,100,,,,,,,-,FF,,220,67
Jolteon,,,,,,62,,,,,5,12,4,1,2,258,158,#NUM!,#NUM!,eletrico,100,,,,,,,7,2,,221,67
Jolteon Radiante,,4,4,4,4,66,4,4,4,2,8,15,5,1,2,350,178,202,226,eletrico,100,,,,,,,-,FF,,222,67
Flareon,,,,,,,,,,,5,12,4,1,2,134,34,#NUM!,#NUM!,fogo,100,,,,,,,7,2,,223,67
Flareon Radiante,,4,4,4,4,4,4,4,4,2,8,15,5,1,2,226,54,78,102,fogo,100,,,,,,,-,FF,,224,67
Espeon,,,,,,,,,,,5,12,4,1,2,134,34,#NUM!,#NUM!,psiquico,100,,,,,,,7,2,,225,67
Espeon Radiante,,4,4,4,4,4,4,4,4,2,8,15,5,1,2,226,54,78,102,psiquico,100,,,,,,,-,FF,,226,67
Umbreon,,,,,,,,,,,5,12,4,1,2,134,34,#NUM!,#NUM!,sombrio,100,,,,,,,7,2,,227,67
Umbreon Radiante,,4,4,4,4,4,4,4,4,2,8,15,5,1,2,226,54,78,102,sombrio,100,,,,,,,-,FF,,228,67
Leafeon,,,,,,,,,,,5,12,4,1,2,134,34,#NUM!,#NUM!,planta,100,,,,,,,7,2,,229,67
Leafon Radiante,,4,4,4,4,4,4,4,4,2,8,15,5,1,2,226,54,78,102,planta,100,,,,,,,-,FF,,230,67
Glaceon,,,,,,,,,,,5,12,4,1,2,134,34,#NUM!,#NUM!,gelo,100,,,,,,,7,2,,231,67
Glaceon Radiante,,4,4,4,4,4,4,4,4,2,8,15,5,1,2,226,54,78,102,gelo,100,,,,,,,-,FF,,232,67
Sylveon,,,,,,,,,,,5,12,4,1,2,134,34,#NUM!,#NUM!,fada,100,,,,,,,7,2,,233,67
Sylveon Radiante,,4,4,4,4,4,4,4,4,2,8,15,5,1,2,226,54,78,102,fada,100,,,,,,,-,FF,,234,67
Porygon,60,24,28,32,28,18,12,20,25,15,5,15,2,1,1,579,180,334,440,normal,100,,,,,,,4,1,,235,68
Porygon2,79,33,38,42,38,20,15,26,35,16,5,30,2,1,2,771,239,451,603,normal,100,sonoro,10,,,,,6,2,,236,68
Porygon-Z,90,40,38,52,38,40,15,28,36,18,10,50,2,2,2,938,294,530,734,normal,100,sonoro,10,cosmico,10,,,8,3,,237,68
Omanyte,38,17,32,27,21,17,20,19,30,12,5,10,3,1,1,540,178,298,404,agua,100,pedra,100,,,,,4,1,,238,69
Omastar,68,25,53,40,31,22,25,32,34,14,10,15,3,1,2,774,254,448,592,agua,100,pedra,100,,,,,6,2,,239,69
Kabuto,34,23,30,20,20,18,19,20,20,14,10,10,2,1,1,516,146,266,374,pedra,100,agua,80,inseto,50,,,3,1,,240,70
Kabutops,63,41,35,22,25,35,20,31,32,20,50,15,2,1,2,815,252,449,605,pedra,100,agua,80,inseto,50,,,7,2,,241,70
Aerodactyl,86,48,33,36,30,60,22,28,45,15,5,10,4,1,2,865,306,530,690,pedra,100,voador,100,,,,,8,1,,242,71
Mega Aerodactyl,86,61,36,36,30,80,22,32,45,20,10,10,4,1,2,970,372,602,770,pedra,100,voador,100,,,,,-,FF,,243,71
Munchlax,100,30,12,12,30,3,13,6,15,5,4,5,2,1,0,415,220,300,346,normal,100,voador,100,,,,,-,0,,244,72
Snorlax,160,51,30,30,48,12,26,28,48,7,15,15,5,1,2,897,358,574,712,normal,100,voador,100,,,,,8,1,,245,72
Gigantamax Snorlax,450,52,36,30,48,1,26,28,62,7,15,15,5,1,2,1207,678,906,1044,normal,100,voador,100,,,,,-,FF,,246,72
Articuno,100,39,51,47,63,41,50,29,40,20,15,25,4,2,2,1080,328,604,820,gelo,100,voador,100,,,,,-,1,,247,73
Ultra Articuno,100,39,51,84,63,41,54,29,40,20,20,25,4,2,2,1172,402,686,902,psiquico,100,voador,100,,,,,-,FF,,248,73
Zapdos,98,48,40,65,46,53,38,31,38,22,15,25,4,2,2,1082,334,602,816,eletrico,100,voador,100,,,,,-,1,,249,74
Ultra Zapdos,98,84,40,65,46,53,43,31,38,22,20,25,4,2,2,1174,404,680,898,lutador,100,voador,100,,,,,-,FF,,250,74
Moltres,110,52,47,63,43,40,40,30,42,18,15,25,4,2,2,1078,340,604,824,fogo,100,voador,100,,,,,-,1,,251,75
Ultra Moltres,110,52,47,63,84,40,40,30,42,18,20,25,4,2,2,1170,404,686,906,sombrio,100,voador,100,,,,,-,FF,,252,75
Dratini,50,28,21,22,22,22,22,23,24,16,5,10,1,1,1,546,154,288,418,dragao,100,,,,,,,4,1,,253,76
Dragonair,83,43,32,33,33,36,31,28,34,16,10,15,2,1,1,781,241,441,623,dragao,100,,,,,,,7,2,,254,76
Dragonite,137,66,40,43,43,38,38,35,55,16,10,15,5,1,2,1061,379,631,853,dragao,100,voador,100,,,,,10,3,,255,76
Mewtwo,104,56,39,75,39,62,35,40,42,35,10,25,4,1,2,1155,386,654,880,psiquico,100,,,,,,,-,1,,256,77
Mega Mewtwo ,104,58,39,100,45,72,40,42,42,40,10,25,4,1,2,1270,460,738,982,psiquico,100,cosmico,50,,,,,-,FF,,257,77
Ultra Mewtwo ,116,100,46,70,46,62,35,42,46,35,10,25,4,1,2,1285,464,764,1010,psiquico,100,lutador,100,,,,,-,FF,,258,77
Mew,80,40,40,40,40,40,40,40,40,20,30,30,5,2,2,1030,240,480,720,psiquico,100,cosmico,50,,,,,-,1,,259,78
Mew Radiante,80,44,44,44,44,44,44,44,44,22,33,33,6,2,2,1122,264,528,784,psiquico,100,cosmico,50,,,,,-,FF,,260,78
Chikorita,44,21,25,21,25,24,24,15,26,12,5,10,3,1,1,542,152,292,406,planta,100,,,,,,,3,1,,261,79
Bayleef,72,27,35,28,35,26,34,18,40,16,5,15,3,1,1,716,222,416,558,planta,100,,,,,,,6,2,,262,79
Meganium,110,35,56,37,56,31,54,22,54,20,10,15,3,1,2,1000,334,624,800,planta,100,,,,,,,9,3,,263,79
Cyndaquil,40,22,20,26,21,23,20,16,22,15,10,15,3,1,1,545,142,268,380,fogo,100,,,,,,,3,1,,264,80
Quilava,60,31,27,36,29,32,24,21,35,20,10,20,3,1,1,720,206,386,530,fogo,100,,,,,,,6,2,,265,80
Typhlosion,90,42,35,59,43,46,32,38,40,25,15,20,3,1,2,995,300,550,760,fogo,100,,,,,,,9,3,,266,80
Ultra Typhlosion,91,45,35,71,46,50,42,38,42,26,26,26,3,1,2,1101,334,599,829,fogo,100,fantasma,100,,,,,-,FF,,267,80
Totodile,46,25,24,20,21,19,15,21,23,14,10,15,3,1,1,544,144,274,382,agua,100,,,,,,,3,1,,268,81
Croconaw,70,36,35,26,26,25,22,30,36,19,10,15,3,1,1,719,214,396,542,agua,100,,,,,,,6,2,,269,81
Feraligatr,108,62,58,35,37,32,29,35,48,22,15,18,3,1,2,1002,348,588,780,agua,100,,,,,,,9,3,,270,81
Sentret,37,26,18,19,22,23,18,14,18,16,10,10,4,1,1,521,142,253,357,normal,100,,,,,,,1,1,,271,82
Furret,69,33,28,22,29,48,21,28,25,25,12,12,4,1,2,760,231,401,545,normal,100,,,,,,,5,2,,272,82
Hoothoot,62,16,16,19,27,25,20,20,24,12,5,10,3,1,1,532,166,294,396,normal,100,voador,100,,,,,1,1,,273,83
Noctowl,85,21,21,24,37,34,22,24,35,16,6,35,3,2,2,761,229,415,549,normal,100,voador,100,,,,,5,2,,274,83
Ledyba,49,14,18,19,28,25,22,19,25,13,5,10,4,1,1,538,156,287,389,inseto,100,voador,100,,,,,2,1,,275,84
Ledian,61,19,22,25,50,37,26,21,38,19,5,10,4,1,2,724,250,413,537,inseto,100,voador,100,,,,,6,2,,276,84
Spinarak,36,23,17,17,17,19,19,20,18,12,25,10,4,1,1,522,136,248,352,inseto,100,venenoso,100,,,,,2,1,,277,85
Ariados,72,34,22,22,22,22,24,30,30,18,35,15,4,1,2,738,210,378,510,inseto,100,venenoso,100,,,,,7,2,,278,85
Chinchou,70,16,16,23,23,26,24,15,20,12,5,15,3,1,1,542,170,302,396,agua,100,eletrico,100,,,,,2,1,,279,86
Lanturn,125,21,21,36,36,32,32,18,33,16,5,15,3,1,2,761,269,463,583,agua,100,eletrico,100,,,,,7,2,,280,86
Togepi,34,8,21,15,21,9,30,6,18,10,5,5,3,1,0,390,144,244,298,fada,100,,,,,,,2,1,,281,87
Togetic,60,15,32,30,36,15,45,10,26,13,5,8,3,1,1,613,226,398,484,fada,100,voador,100,,,,,6,2,,282,87
Togekiss,92,16,40,52,48,44,75,17,36,18,8,10,3,1,2,928,350,610,752,fada,100,voador,100,cosmico,50,,,8,3,,283,87
Togekiss Radiante,92,20,44,56,52,48,79,21,40,20,11,13,4,1,2,1020,374,650,812,fada,100,voador,100,cosmico,50,,,-,FF,,284,87
Natu,39,20,19,25,19,25,24,19,19,16,5,12,2,1,1,521,148,265,379,voador,100,psiquico,100,,,,,2,1,,285,88
Xatu,61,29,31,36,31,35,41,24,41,19,5,15,2,1,2,774,236,430,597,psiquico,100,voador,100,,,,,6,2,,286,88
Mareep,44,19,19,24,20,18,20,16,26,12,5,10,4,1,1,514,144,262,368,eletrico,100,fada,10,,,,,3,1,,287,89
Flaaffy,71,25,25,35,31,23,30,21,36,16,5,15,4,1,2,711,213,385,523,eletrico,100,fada,50,,,,,6,2,,288,89
Ampharos,117,32,37,53,44,27,42,26,58,20,10,15,4,1,3,985,339,585,755,eletrico,100,fada,10,,,,,9,3,,289,89
Mega Ampharos,118,32,41,65,49,27,45,26,81,20,15,15,4,1,3,1090,410,680,850,eletrico,100,dragao,100,,,,,-,FF,,290,89
Azurill,35,10,19,10,19,14,19,10,15,10,2,2,4,1,0,365,114,207,267,fada,100,normal,100,,,,,-,0,,291,90
Marill,62,16,30,20,30,16,30,14,25,15,4,4,4,1,1,565,182,332,426,agua,100,fada,100,,,,,3,1,,292,90
Azumarill,95,20,43,28,43,20,43,19,35,18,8,8,4,1,2,783,267,479,597,agua,100,fada,100,,,,,6,2,,293,90
Bonsly,36,23,26,6,16,4,16,12,24,10,5,5,1,1,0,370,146,246,302,pedra,100,,,,,,,-,0,,294,91
Sudowoodo,71,44,55,16,27,11,26,18,42,14,12,12,1,1,2,709,282,459,555,pedra,100,,,,,,,5,1,,295,91
Hoppip,38,18,20,19,25,24,21,22,22,15,15,5,2,1,1,525,142,268,380,planta,100,voador,100,,,,,2,1,,296,92
Skiploom,63,22,26,22,33,37,33,25,35,18,20,5,2,1,1,693,210,391,529,planta,100,voador,100,,,,,5,2,,297,92
Jumpluff,74,27,34,27,41,49,43,25,45,22,25,5,2,2,2,882,274,498,656,planta,100,voador,100,,,,,7,3,,298,92
Aipom,40,28,19,17,19,31,20,19,21,21,10,15,3,1,1,571,160,282,396,normal,100,,,,,,,2,1,,299,93
Ambipom,64,40,23,22,23,45,24,22,32,32,15,15,3,1,2,772,234,410,546,normal,100,,,,,,,7,2,,300,93
Sunkern,34,17,17,17,17,17,17,17,17,17,17,17,4,1,1,505,102,204,306,planta,100,,,,,,,1,1,,301,94
Sunflora,64,27,23,38,34,19,52,19,60,28,10,18,4,1,2,848,300,488,626,planta,100,,,,,,,5,2,,302,94
Yanma,52,25,21,31,21,44,22,25,25,15,5,15,3,1,1,635,202,352,480,inseto,100,voador,100,,,,,4,1,,303,95
Yanmega,80,28,32,44,25,48,26,42,30,20,15,15,3,1,2,840,268,472,630,inseto,100,voador,100,dragao,10,,,8,2,,304,95
Wooper,54,25,25,21,21,18,18,17,17,15,12,8,4,1,1,543,154,274,378,terrestre,100,agua,100,,,,,2,1,,305,96
Clodsire,85,37,37,30,30,24,24,23,23,17,15,10,4,1,2,742,233,401,541,terrestre,100,venenoso,100,,,,,7,2,,306,96
Quagsire,95,33,33,28,44,23,23,22,22,17,15,10,3,1,2,742,249,417,551,terrestre,100,agua,100,,,,,7,2,,307,96
Murkrow,43,26,19,26,19,29,19,24,19,15,15,15,4,1,1,590,162,291,405,sombrio,100,voador,100,,,,,2,1,,308,97
Honchkrow,101,52,28,42,28,35,35,29,28,15,15,15,4,1,2,860,289,487,655,sombrio,100,voador,100,,,,,8,2,,309,97
Misdreavus,51,26,26,31,31,31,36,10,18,18,5,10,4,1,1,633,196,362,485,fantasma,100,,,,,,,4,1,,310,98
Mismagius,51,26,26,46,46,46,86,10,38,18,5,10,4,1,2,883,356,576,715,fantasma,100,,,,,,,7,2,,311,98
Unown,33,23,13,23,13,23,63,13,23,13,13,13,5,1,1,602,218,343,421,psiquico,100,,,,,,,5,1,,312,99
Wynaut,80,10,20,10,20,10,16,8,18,10,4,4,1,1,0,380,160,248,308,psiquico,100,,,,,,,-,0,,313,100
Wobbuffet,170,16,30,16,30,16,18,12,30,12,10,10,1,1,2,652,290,418,506,psiquico,100,,,,,,,4,1,,314,100
Girafarig,69,37,30,41,30,33,34,25,32,16,5,10,2,1,1,731,225,423,593,normal,100,psiquico,80,,,,,4,1,,315,101
Farigiraf,92,40,33,50,33,28,36,26,38,20,10,15,2,2,2,870,272,486,660,psiquico,100,normal,100,,,,,8,2,,316,101
Pineco,46,25,33,18,18,11,18,18,24,12,15,15,3,1,1,542,164,282,384,inseto,100,,,,,,,2,1,,317,102
Forretress,73,36,68,22,22,12,22,22,36,16,20,20,2,1,2,761,281,441,569,inseto,100,metal,100,,,,,6,2,,318,102
Dunsparce,92,35,35,32,32,22,22,22,32,22,5,5,3,1,1,712,232,424,556,normal,100,,,,,,,4,1,,319,103
Dudunsparce,111,44,38,37,36,25,25,25,37,25,5,5,3,1,2,830,275,495,645,normal,100,,,,,,,7,2,,320,103
Gligar,42,26,32,19,24,27,14,26,25,14,20,5,2,1,1,580,170,320,440,terrestre,100,voador,100,,,,,3,1,,321,104
Gliscor,67,37,50,22,29,36,15,37,35,18,35,10,2,1,2,813,248,460,629,terrestre,100,voador,100,sombrio,10,,,7,2,,322,104
Snubbull,48,31,23,20,20,17,24,15,20,16,10,10,2,1,1,536,158,284,390,fada,100,,,,,,,3,1,,323,105
Granbull,75,62,33,25,25,22,34,18,38,18,10,15,2,1,2,773,275,459,589,fada,100,lutador,50,,,,,7,2,,324,105
Qwilfish,41,32,28,22,22,27,24,35,30,12,10,15,3,1,1,637,194,352,481,agua,100,venenoso,100,,,,,4,1,,325,106
Qwilinper,41,32,28,22,22,27,24,35,30,12,10,15,4,1,2,667,194,352,481,agua,100,venenoso,100,sombrio,50,,,5,2,,326,106
Overqwil,79,44,34,27,27,33,28,52,38,15,15,20,4,1,2,860,271,481,645,venenoso,100,sombrio,100,agua,80,,,8,3,,327,106
Shuckle,36,16,85,16,85,8,17,8,29,8,5,5,2,1,2,688,398,500,564,inseto,100,pedra,50,normal,10,,,5,1,,328,107
Heracross,77,68,33,23,37,26,20,42,35,15,10,15,3,1,3,850,297,507,645,inseto,100,lutador,100,,,,,6,1,,329,108
Mega Heracross,87,96,42,23,40,27,20,51,35,15,10,15,3,1,3,960,381,615,755,inseto,100,lutador,100,,,,,-,FF,,330,108
Sneasel,43,33,21,17,24,34,19,20,25,18,25,10,1,1,1,603,184,325,445,sombrio,100,gelo,100,,,,,3,1,,331,109
Ultra Sneasel,43,33,21,17,24,34,19,22,25,18,33,15,1,1,1,633,200,342,465,sombrio,100,venenoso,100,lutador,50,,,-,FF,,332,109
Weavile,60,46,25,19,31,42,25,26,32,24,45,10,1,1,2,804,266,452,604,sombrio,100,gelo,100,,,,,6,2,,333,109
Ultra Weavile,72,48,25,19,31,42,30,32,33,24,75,15,1,1,2,914,330,532,704,sombrio,100,venenoso,100,lutador,100,,,-,FF,,334,109
Teddiursa,43,28,22,22,22,19,18,17,20,13,5,10,2,1,1,508,144,271,379,normal,100,,,,,,,2,1,,335,110
Ursaring,84,53,31,31,31,25,24,22,40,16,10,15,2,1,2,776,270,456,598,normal,100,,,,,,,7,2,,336,110
Ursaluna,130,80,45,31,34,26,25,26,47,16,10,15,2,1,3,956,384,604,758,terrestre,100,normal,100,,,,,10,3,,337,110
Ultra Ursaluna,130,82,48,50,48,32,25,32,47,16,15,15,2,1,3,1066,394,680,858,terrestre,100,normal,100,sombrio,10,,,-,FF,,338,110
Slugma,42,21,21,21,30,12,19,16,24,15,10,15,5,1,1,555,150,276,376,fogo,100,pedra,10,,,,,4,1,,339,111
Magcargo,62,28,46,36,36,15,28,20,34,16,10,20,5,1,2,766,236,422,558,fogo,100,pedra,100,,,,,7,2,,340,111
Swinub,45,22,21,20,20,23,19,19,20,16,5,10,3,1,1,521,135,257,373,gelo,100,terrestre,100,,,,,3,1,,341,112
Piloswine,92,36,32,30,30,28,24,24,32,18,10,15,3,1,1,738,228,412,564,gelo,100,terrestre,100,,,,,6,2,,342,112
Mamoswine,138,56,45,41,38,34,30,35,52,22,12,16,3,1,2,1012,354,602,800,gelo,100,terrestre,100,,,,,9,3,,343,112
Corsola,52,23,32,26,32,5,16,30,25,10,5,10,2,1,2,570,188,342,440,agua,100,pedra,100,,,,,4,1,,344,113
Carsola,54,24,33,28,33,5,20,40,25,10,5,10,2,1,2,610,212,372,480,fantasma,100,agua,100,pedra,100,,,5,2,,345,113
Cursola,60,30,33,56,46,5,30,40,30,10,5,10,2,1,2,740,284,470,610,fantasma,100,agua,100,pedra,100,,,8,3,,346,113
Remoraid,34,28,17,28,17,29,18,17,17,17,5,10,4,1,1,537,170,274,376,agua,100,,,,,,,2,1,,347,114
Octillery,66,41,32,41,32,29,32,20,32,18,10,15,4,1,2,788,230,422,584,agua,100,,,,,,,6,2,,348,114
Delibird,70,26,24,30,24,34,38,20,33,16,10,20,5,1,2,746,214,392,528,gelo,100,voador,100,,,,,4,1,,349,115
Mantyke,37,8,19,20,35,19,19,4,16,8,3,3,3,1,0,403,148,261,325,agua,100,voador,80,,,,,-,0,,350,116
Mantine,79,16,29,35,68,29,36,15,38,12,5,15,3,1,2,777,291,491,611,agua,100,voador,80,,,,,6,1,,351,116
Skarmory,78,40,67,23,36,35,21,30,34,14,5,16,4,1,2,834,292,502,650,metal,100,voador,100,,,,,7,1,,352,117
Houndour,44,26,17,30,21,23,22,17,23,14,10,15,4,1,1,574,158,292,402,sombrio,100,fogo,100,,,,,4,1,,353,118
Houndoom,75,34,20,39,31,33,26,24,40,18,15,20,4,1,2,793,233,429,569,sombrio,100,fogo,100,,,,,8,2,,354,118
Mega Houndoom,75,38,38,51,38,40,26,24,40,25,15,20,4,1,2,910,262,490,667,sombrio,100,fogo,100,,,,,-,FF,,355,118
Phanpy,64,26,26,21,21,19,19,19,22,10,5,5,3,1,1,530,168,296,410,terrestre,100,,,,,,,4,1,,356,119
Donphan,103,61,61,30,30,22,22,25,48,22,10,10,3,1,3,917,347,563,701,terrestre,100,,,,,,,8,2,,357,119
Stantler,70,36,28,34,28,32,30,27,34,16,5,20,4,1,2,766,210,402,568,normal,100,,,,,,,5,1,,358,120
Wyrdeer,80,42,30,42,30,32,34,27,36,16,6,40,3,2,2,876,248,468,652,normal,100,psiquico,100,,,,,8,2,,359,120
Smeargle,45,17,22,17,26,40,40,13,25,15,5,5,4,2,2,630,212,351,449,normal,100,,,,,,,4,1,,360,121
Miltank,83,27,40,18,26,28,32,18,47,20,15,15,2,1,2,755,257,431,559,normal,100,,,,,,,5,1,,361,122
Raikou,96,41,36,60,46,60,36,36,42,30,25,10,5,1,2,1080,336,594,810,eletrico,100,terrestre,10,,,,,-,1,,362,123
Entei,120,60,45,45,38,42,35,34,56,25,20,15,4,1,2,1075,352,616,830,fogo,100,terrestre,10,,,,,-,1,,363,124
Suicune,100,41,60,47,60,35,45,36,46,25,15,15,4,1,2,1075,340,616,840,gelo,100,terrestre,10,,,,,-,1,,364,125
Larvitar,50,26,24,21,24,20,12,18,24,14,10,15,3,1,1,550,150,288,394,pedra,100,terrestre,100,,,,,4,1,,365,126
Pupitar,64,27,33,22,33,20,15,18,34,16,10,15,3,1,1,636,200,362,470,pedra,100,terrestre,100,,,,,7,2,,366,126
Tyranitar,123,76,54,46,48,27,25,26,54,20,15,15,3,1,2,1045,383,679,835,pedra,100,sombrio,100,terrestre,50,,,10,3,,367,126
Mega Tyranitar,123,93,65,52,54,27,25,28,60,22,15,15,3,1,2,1147,439,771,931,pedra,100,sombrio,100,terrestre,50,,,-,FF,,368,126
Lugia,137,32,50,37,90,44,36,30,65,20,10,15,4,1,2,1115,447,709,905,voador,100,psiquico,100,,,,,-,1,,369,127
HoOh,107,51,40,45,80,47,42,32,55,22,15,15,4,1,2,1117,377,663,891,voador,100,fogo,100,,,,,-,2,,370,128
Celebi,70,40,40,40,40,43,42,40,40,20,30,30,5,2,2,1030,250,490,720,psiquico,100,planta,100,,,,,-,1,,371,129
Treecko,39,20,15,22,21,27,18,21,18,16,15,10,3,1,1,531,140,261,365,planta,100,,,,,,,3,1,,372,130
Grovyle,61,34,19,36,24,37,23,30,24,20,20,10,3,1,2,725,214,383,517,planta,100,,,,,,,6,2,,373,130
Sceptile,79,44,28,50,32,58,31,45,38,28,24,15,3,2,2,1003,306,549,731,planta,100,,,,,,,9,3,,374,130
Mega Sceptile,79,52,32,62,35,64,32,67,40,32,24,18,3,2,2,1137,386,649,847,planta,100,dragao,100,,,,,-,FF,,375,130
Torchic,37,24,17,27,19,21,22,22,19,13,5,15,3,1,1,528,146,270,379,fogo,100,,,,,,,3,1,,376,131
Combusken,69,38,25,38,25,23,22,26,28,18,10,20,3,1,2,723,221,379,519,fogo,100,lutador,100,,,,,6,2,,377,131
Blaziken,87,63,34,63,34,39,28,28,45,20,10,25,3,2,2,995,342,575,755,fogo,100,lutador,100,,,,,9,3,,378,131
Mega Blaziken,87,78,41,68,41,46,28,34,46,25,12,35,3,2,2,1130,384,645,865,fogo,100,lutador,100,,,,,-,FF,,379,131
Mudkip,43,26,21,21,21,19,16,16,24,12,10,15,3,1,1,527,143,269,371,agua,100,,,,,,,3,1,,380,132
Marshtomp,75,38,33,29,33,22,24,18,34,14,10,15,3,1,2,719,219,409,537,agua,100,terrestre,100,,,,,6,2,,381,132
Swampert,109,64,47,40,47,30,26,24,55,20,10,15,3,2,2,995,347,615,775,agua,100,terrestre,100,,,,,9,3,,382,132
Mega Swampert,141,74,56,43,56,31,28,29,60,20,15,15,3,2,2,1125,409,719,895,agua,100,terrestre,100,,,,,-,FF,,383,132
Poochyena,38,27,20,17,17,21,16,18,19,16,15,10,3,1,1,516,136,248,348,sombrio,100,,,,,,,3,1,,384,133
Mightyena,70,39,29,22,22,28,20,23,32,20,30,10,3,1,2,730,212,386,520,sombrio,100,,,,,,,7,2,,385,133
Zigzagoon,44,20,25,20,25,29,18,19,20,12,10,5,2,1,1,522,158,282,396,sombrio,100,normal,100,,,,,2,1,,386,134
Linoone,68,35,31,23,31,39,20,24,28,15,10,15,2,1,2,705,216,396,530,sombrio,100,normal,100,,,,,6,2,,387,134
Obstagoon,91,44,50,28,39,42,22,29,38,24,11,30,2,1,3,929,279,517,691,sombrio,100,normal,100,sonoro,50,,,8,3,,388,134
Wurmple,40,20,18,14,16,13,19,22,18,10,5,10,4,1,1,460,124,234,320,inseto,100,,,,,,,1,1,,389,135
